"","id","mentor","education","gpa","gpa_3"
"601",94572912,0,15,3.37,1
"602",94572929,0,11,0.27,0
"603",94572988,0,20,2.98,0
"604",94572989,1,15,3.32,1
"605",94573439,1,17,2.56,0
"606",94573497,0,15,2.19,0
"607",94573691,0,13,2.18,0
"608",94573693,0,15,1.86,0
"609",94573699,0,15,1.13,0
"610",94573951,0,13,2.41,0
"611",94574128,1,20,3.97,1
"612",94574135,0,11,0,0
"613",94574235,0,15,2.64,0
"614",94574237,0,11,0.88,0
"615",94574241,1,13.5,2.91,0
"616",94574494,0,13,1.76,0
"617",94574536,0,15,1.87,0
"618",94574729,1,13,1.17,0
"619",94574802,1,19,3.12,1
"620",94574830,1,19,3.04,1
"621",94575029,1,15,3.5,1
"622",94575116,1,17,3.47,1
"623",94575195,1,19,3.65,1
"624",94575228,1,15,2.12,0
"625",94575231,0,13,2.42,0
"626",94575247,1,17,3.31,1
"627",94575463,1,18,3.1,1
"628",94575876,1,17,3.4,1
"629",94575948,1,15,3.33,1
"630",94575955,0,17,3.8,1
"631",94575985,1,17,3.65,1
"632",94575991,0,15,2,0
"633",94576024,0,15,2.26,0
"634",94576216,1,19,2.39,0
"635",94576254,0,11,2.29,0
"636",94576352,1,19,3.02,1
"637",94576357,1,15,2.6,0
"638",94576411,0,13,2.2,0
"639",94576432,1,17,1.49,0
"640",94576615,0,20,3.8,1
"641",94576685,1,11,1.64,0
"642",94577128,0,19,3.88,1
"643",94577264,0,13,1.27,0
"644",94577452,1,15,1.91,0
"645",94577924,1,20,3.25,1
"646",94578101,1,15,1.72,0
"647",94578149,1,17,2.93,0
"648",94578421,0,15,3.5,1
"649",94578804,1,15,1.96,0
"650",94578910,0,13,2.29,0
"651",94578966,0,17,1.47,0
"652",94579292,0,13,1.51,0
"653",94579294,1,15,3.32,1
"654",94579375,0,15,2.25,0
"655",94579941,1,17,3.29,1
"656",94579945,0,11,1.9,0
"657",94579998,0,13,3.69,1
"658",94593905,0,17,3.77,1
"659",94614472,1,15,2.26,0
"660",94614976,0,15,2.23,0
"661",94619469,1,17,3.65,1
"662",94619867,0,20,3.56,1
"663",94619963,1,17,3.23,1
"664",94676728,0,13,2.33,0
"665",94710376,0,14,2.35,0
"666",94710390,1,15,3.42,1
"667",94710450,1,15,1.86,0
"668",94710999,1,15,1.59,0
"669",94711266,1,17,3.6,1
"670",94711862,0,15,2.06,0
"671",94711974,0,17,2.84,0
"672",94712047,0,14,2.88,0
"673",94712211,0,13,2.47,0
"674",94712218,0,13,1.05,0
"675",94712917,1,13,2.71,0
"676",94714022,0,14,2.23,0
"677",94714085,1,17,3.04,1
"678",94714088,0,15,2.86,0
"679",94714242,1,15,3.04,1
"680",94714310,0,13,2.07,0
"681",94714394,1,14,3.21,1
"682",94714398,0,11,1,0
"683",94715257,1,15,2.94,0
"684",94715393,1,19,3.21,1
"685",94715980,1,17,3.94,1
"686",94715981,1,14,1.96,0
"687",94715987,1,17,4,1
"688",94716068,0,17,2.35,0
"689",94716217,1,15,3.09,1
"690",94716627,1,17,2.7,0
"691",94716893,0,15,2.71,0
"692",94716975,0,15,2.56,0
"693",94716976,0,11,0.63,0
"694",94717262,0,11,1.35,0
"695",94717461,1,15,2.25,0
"696",94718027,0,15,2.22,0
"697",94718194,0,15,3.8,1
"698",94718249,1,18,3.91,1
"699",94718273,1,18,2.46,0
"700",94718485,1,15,2.74,0
"701",94718998,0,15,3.65,1
"702",94719279,0,17,3.32,1
"703",94719932,1,17,3.27,1
"704",94719935,0,15,2.76,0
"705",95374971,1,19,3.1,1
"706",95500036,1,15,2.74,0
"707",95500235,0,17,3,1
"708",95500280,0,15,1.82,0
"709",95500710,0,15,2.29,0
"710",95501960,0,11,1.68,0
"711",95504188,1,17,3.08,1
"712",95504487,1,15,2.45,0
"713",95504620,0,18,1.25,0
"714",95504947,1,17,3.02,1
"715",95506154,0,15,1.82,0
"716",95506482,1,15,3.33,1
"717",95506926,1,15,3.33,1
"718",95507059,0,15,1.96,0
"719",95507158,0,13.5,2.32,0
"720",95508034,1,13.5,1.76,0
"721",95508339,0,17,3.77,1
"722",95508984,1,18,2.08,0
"723",95543606,0,13,1.54,0
"724",95548969,0,14,2.96,0
"725",95570097,0,15,2,0
"726",95570294,0,14,1.52,0
"727",95570450,0,13,1.84,0
"728",95571018,1,20,3.58,1
"729",95571100,0,15,1.97,0
"730",95571112,1,13,3.03,1
